Camera timestamp,End of utterance,Time delta,[Camera],[Context]
170.1,174.9,0.0,"In the image, there are several customers at the mall. One person is wearing a light-colored shirt and a dark skirt, while another person is wearing a light-colored shirt and a dark skirt as well. Both individuals are carrying bags. In the background, there are other customers walking, and the mall has a modern design with white columns and tiled floors.",Salesman: こんにちはソルビバベーカリーの美味しいパンはいかがですか？
175.2,175.2,0.3,"The image shows an indoor shopping mall with a large, open space featuring a curved escalator and a tiled floor with a pattern of blue, white, and gray tiles. The ceiling is white with recessed lighting. In the foreground, there is a storefront with a sign that appears to be advertising a bakery. In front of the bakery, there are a few people walking, but they are not the main focus of the image. The people are dressed in casual clothing, including shorts and t-shirts. The overall atmosphere appears to be that of a busy shopping mall during the day.",no utterance is needed
175.5,178.6,0.3,"In the image, there are several customers in the mall. The customers are wearing casual clothing, including t-shirts, shorts, and sandals. Some of them are walking, while others are standing or sitting. The atmosphere appears to be relaxed and casual, typical of a shopping mall environment.",Salesman: 今お勧めしてるのはゴマチーズですよ。
179.0,179.0,0.4,"In the image, there are a few customers in the mall. One person is walking towards the entrance of the bakery, wearing a light-colored shirt and beige pants. Another person is standing near the entrance, wearing a white shirt and dark pants. There are also a few other people in the background, but they are not the main focus of the image. The bakery has a sign with a colorful logo and some text, but the details are not clear from the image.",no utterance is needed
179.4,187.3,0.4,"In the image, there are a few customers in the mall. One person is walking towards the entrance of the bakery, wearing a light-colored shirt and a bag over their shoulder. Another person is standing near the entrance, also wearing a light-colored shirt. The bakery itself is visible on the left side of the image, with a signboard and a few customers inside. The mall has a modern design with white columns and a tiled floor.",Salesman: ごまといえば、食物繊維が豊富でとても体にいいんですよ。いらっしゃいませ。ソルビバベーカリーへようこそ。
188.4,188.4,1.1,"In the image, there are several customers at the mall. The customers are:1. A person wearing a light-colored shirt and dark pants, carrying a white bag.2. A person wearing a brown shirt and dark pants, carrying a white bag.3. A person wearing a dark shirt and shorts, carrying a green bag.4. A person wearing a light-colored shirt and dark pants, carrying a white bag.5. A person wearing a dark shirt and shorts, carrying a green bag.6. A person wearing a light-colored shirt and dark pants, carrying a white bag.7. A person wearing a dark shirt and shorts, carrying a green bag.8. A person wearing a light-colored shirt and dark pants, carrying a white bag.9. A person wearing a dark shirt and shorts, carrying a green bag.10. A person wearing a light-colored shirt and dark pants, carrying a white bag.11. A person wearing a dark shirt and shorts, carrying a green bag.12. A person wearing a light-colored shirt and dark pants, carrying a white bag.13. A person wearing a dark shirt and shorts, carrying a green bag.14. A person wearing a light-colored shirt and dark pants, carrying",no utterance is needed
189.6,194.5,1.2,"In the image, there are several customers at the mall. The customers are wearing various outfits, including: 1. A person in a white shirt and blue jeans. 2. A person in a brown shirt and black pants. 3. A person in a black shirt and brown pants. 4. A person in a white shirt and blue jeans. 5. A person in a black shirt and brown pants. 6. A person in a white shirt and blue jeans. 7. A person in a brown shirt and black pants. 8. A person in a white shirt and blue jeans. 9. A person in a black shirt and brown pants. 10. A person in a white shirt and blue jeans. The customers appear to be walking through the mall, and the environment looks like a typical shopping area with stores and a walkway.",Salesman: 今日もいろんなパンがまだまだありますよ。ゆっくりお買い物してくださいね。いらっしゃいませ。
195.5,195.5,1.0,"In the image, there are several customers at the mall. The customers are walking around, some of them carrying bags and shopping. The atmosphere appears to be busy and lively, typical of a shopping mall.",no utterance is needed
196.5,206.7,1.0,"In the image, there are two customers visible in front of the bakery at the mall. One customer is wearing a light-colored shirt and dark pants, while the other customer is wearing a darker shirt and lighter pants. Both are carrying bags and appear to be walking towards the bakery. The bakery itself is located on the left side of the image, and there are other customers and shoppers in the background.",Salesman: ただいまお勧めしているのはゴマチーズごまがたっぷりねり込まれていて、チーズとマヨネーズが入ったごまチーズはいかがですか？
207.6,207.6,0.9,"In the image, there are several customers at the mall. One person is wearing an orange shirt and carrying a backpack. Another person is wearing a blue shirt and is walking towards the camera. There are also two individuals in the background, one wearing a blue shirt and the other wearing a red shirt. The mall has a modern design with a tiled floor and a white ceiling with recessed lighting.",no utterance is needed
