Camera timestamp,End of utterance,Time delta,[Camera],[Context]
89.9,97.3,0.0,"In front of the bakery at the mall, there are several customers walking by. The customers are wearing casual clothing, including dresses, shirts, and pants. Some of them are carrying handbags and backpacks. The atmosphere appears to be relaxed and casual, typical of a shopping mall setting.",Salesman: 大人気のパンお買い得にお買い物できます。ソルビバベーカリータイムセールが行われますよ。
98.3,98.3,1.0,"In the image, there are several customers in the mall. The customers are wearing casual clothing, including jeans, t-shirts, and jackets. Some of them are carrying bags, and there are also a few individuals walking by. The atmosphere appears to be relaxed and casual, typical of a shopping mall environment.",no utterance is needed
99.3,102.6,1.0,"In the image, there are several customers at the bakery. The customers are wearing casual clothing, including jeans, t-shirts, and jackets. Some of them are standing near the bakery, while others are walking by. The bakery has a welcoming sign with a blue and white color scheme, and there are also some promotional materials displayed on the window. The overall atmosphere appears to be casual and relaxed.",Salesman: 人気のパン皆さんの好きなパンが亡くなる前に是非。
103.2,103.2,0.6,"In the image, there are several customers at the mall. One person is standing near the entrance of a bakery, wearing a black jacket and blue jeans. Another person is walking towards the entrance, also dressed in a black jacket and blue jeans. There are also other customers in the background, some standing and some walking. The mall has a modern design with a checkered floor and white columns.",no utterance is needed
103.8,106.6,0.6,"In the image, there are several customers at the bakery. One person is standing near the entrance, holding a book or a magazine. Another person is walking towards the entrance, wearing a black jacket and blue jeans. There are also other customers inside the bakery, some standing and others sitting at tables. The overall atmosphere appears to be relaxed and casual.",Salesman: ソルビバベーカリーのタイムセールご利用ください。
108.3,108.3,1.8,"In the image, there are several customers at the bakery at the mall. One person is standing in front of the bakery, holding a drink, while another person is walking past the bakery. The customers are wearing casual clothing, including jeans and t-shirts. The bakery has a welcoming sign with a blue and white color scheme, and there are other customers in the background, also wearing casual attire. The mall has a modern design with white columns and tiled flooring.",no utterance is needed
110.1,111.1,1.8,"In the image, there are two customers at the bakery. One person is standing near the entrance, wearing a black hat and a brown shirt. The other person is inside the bakery, wearing a black hat and a brown shirt. The bakery has a sign that reads ""WELCOME"" and a sign with a logo. The interior of the mall is well-lit, and there are stairs leading up to a higher level.",Salesman: 皆様、こんにちは。
112.0,112.0,0.9,"In the image, there are two customers at the bakery. One person is wearing a black dress and blue gloves, while the other person is wearing a brown shirt and blue gloves. Both are standing in front of the bakery, looking inside. The bakery has a sign that reads ""WELCOME"" and a display case with some items inside. The mall has a modern design with white columns and tiled floors.",no utterance is needed
112.9,125.3,0.9,"In the image, there are two customers at the bakery at the mall. The person on the left is wearing a black dress and is holding a piece of paper or a menu. The person on the right is wearing a brown shirt and is also holding a piece of paper or a menu. Both individuals are wearing gloves, which suggests that they are following safety protocols during the pandemic.",Salesman: マーメイドアバターのかなこです。こんにちはソルビバベーカリーのご紹介をしに来ましたよ。ただ今ソルビバベーカリーではパンのタイムセールが行なわれていますよ。
125.7,125.7,0.4,"In front of the bakery at the mall, there are several customers. One person is wearing a black hat and a black shirt, while another person is wearing a white shirt and a black hat. There are also two individuals in the background, one of whom is wearing a white shirt and the other is wearing a black shirt. The overall atmosphere appears to be calm and quiet, with no other customers visible in the frame.",no utterance is needed
126.1,137.9,0.4,"In front of the bakery at the mall, there are a few customers. One person is wearing a black hat and a black jacket, while another person is wearing a black shirt and a black hat. There is also a person walking with a baby carriage. The bakery has a sign that reads ""WELCOME"" and a display case with items inside. The mall has a modern design with white columns and tiled flooring.",Salesman: ソルビバベーカリーそういえばはいったことなかったなあというお客様タイムセールをぜひご利用ください。どうもお買い物ありがとうございます。傘のお忘れ物にお気をつけくださいね。
138.6,138.6,0.7,"In the image, there are several customers at the mall. One person is wearing a white hat and a white mask, possibly indicating they are a staff member or a customer wearing a mask. Another person is wearing a black shirt and shorts, and a third person is wearing a black shirt and shorts as well. There are also other customers in the background, some of whom are wearing masks. The mall has a modern design with a combination of white and blue colors, and there are stairs and escalators visible in the background.",no utterance is needed
139.2,144.0,0.6,"In the image, there are several customers at the mall. The main focus is on a person walking on a walkway in front of a bakery. The person is wearing a gray t-shirt and black shorts. There are also other customers in the background, some of whom are wearing casual clothing. The mall has a modern design with a combination of glass and metal structures, and there are also some people walking on the stairs in the background.",Salesman: ただいまタイムセールが行なわれていますよ。ソルビバベーカリーで。
144.6,144.6,0.6,"In the image, there are several customers at the bakery. They are wearing casual clothing, including t-shirts, shorts, and hats. Some of them are also wearing masks, indicating that they are following safety measures during the pandemic. The bakery has a welcoming sign with the word ""WELCOME"" written on it, and there is a signboard in front of the bakery. The overall atmosphere appears to be busy and lively, with people walking around and engaging in various activities.",no utterance is needed
145.2,146.1,0.6,"In the image, there are several customers at the bakery. The customers are wearing various types of clothing, including: 1. A person wearing a white hat and a white shirt. 2. Another person wearing a blue shirt and a white hat. 3. A person wearing a black shirt and a white hat. 4. A person wearing a white shirt and a white hat. 5. A person wearing a white shirt and a white hat. 6. A person wearing a white shirt and a white hat. 7. A person wearing a white shirt and a white hat. 8. A person wearing a white shirt and a white hat. 9. A person wearing a white shirt and a white hat. 10. A person wearing a white shirt and a white hat. The customers appear to be walking or standing in front of the bakery, possibly waiting for their order or browsing the items on display.",Salesman: 美味しいパンを。
146.4,146.4,0.3,"In the image, there are several customers at the bakery. One person is wearing a light-colored jacket and a mask, while another person is wearing a dark jacket. There are also a few other individuals in the background, but they are not the main focus of the image. The bakery has a welcoming sign with the word ""WELCOME"" in large letters, and there are also some promotional materials displayed on the window. The overall atmosphere appears to be casual and relaxed.",no utterance is needed
146.7,161.9,0.3,"In the image, there are several customers at the mall. One person is walking towards the bakery, wearing a light-colored coat and a mask. There are also other customers in the background, some of whom are also wearing masks. The mall has a modern design with a combination of glass and metal elements, and there are stairs leading to an upper level. The lighting is bright, and the overall atmosphere appears to be busy and lively.",Salesman: ぜひまだまだお選びいただけますので、タイムセールご利用くださいね。どうぞお気軽にパン屋さん覗いて行ってくださいね。皆さんの好きなパン。まだまだお選びいただけると思いますよ。ただいまタイムセールを行っております。
163.9,163.9,2.0,"In front of the bakery at the mall, there are several customers. One person is wearing a white shirt, and another person is wearing a blue shirt. There are also a few other individuals in the background, but their details are not clear. The bakery has a welcoming sign with the word ""WELCOME"" written on it.",no utterance is needed
165.8,170.7,1.9,"In front of the bakery at the mall, there are several customers walking around. They appear to be wearing casual clothing, including t-shirts and shorts. Some of them are carrying bags, and one person is wearing a mask. The atmosphere seems to be relaxed and casual, typical of a shopping mall environment.",Salesman: こんにちは日曜日ですので、ソルビバベーカリーは18時までの営業です。
171.3,171.3,0.6,"In front of the bakery at the mall, there are two customers. One is wearing a brown short-sleeved shirt and dark shorts, while the other is wearing a white t-shirt and purple shorts. Both are walking past the bakery, with the person in the brown shirt appearing to be in motion.",no utterance is needed
171.9,176.4,0.6,"In front of the bakery at the mall, there are several customers. One person is walking towards the entrance, while another person is standing near the entrance. Both individuals are wearing casual clothing. The person walking towards the entrance is wearing a dark-colored jacket and jeans, while the person standing near the entrance is wearing a light-colored jacket and jeans. The bakery has a welcoming sign with a blue and white color scheme, and there are other customers and staff members present in the background.",Salesman: タイムセールが行なわれていますよ人気のパン、ぜひお選びくださいね。
177.7,177.7,1.3,"In front of the bakery at the mall, there are several customers. One person is wearing a blue mask and a black jacket, while another person is wearing a black jacket and a blue mask. There are also a few other people in the background, but they are not clearly visible due to the focus on the bakery.",no utterance is needed
179.0,185.1,1.3,"In the image, there are several customers at the bakery at the mall. The customers are wearing various outfits, including: 1. A person in a blue outfit with a white shirt and a black hat. 2. A person in a white outfit with a black hat. 3. A person in a brown outfit with a white shirt and a black hat. 4. A person in a white outfit with a black hat. 5. A person in a blue outfit with a white shirt and a black hat. The customers appear to be walking or standing in front of the bakery, possibly waiting for their order or browsing the items on display.",Salesman: 雷が近いですね。皆さんゴロゴロ鳴っててこわいですね。
196.6,196.6,11.5,"In front of the bakery at the mall, there are several customers. They appear to be walking or standing around, possibly browsing the items on display or waiting for their order. The customers are dressed in casual clothing, suitable for a mall setting. Some are wearing jackets, while others are in t-shirts and jeans. The atmosphere seems relaxed and casual, typical of a shopping mall environment.",no utterance is needed
208.0,216.2,11.4,"In front of the bakery at the mall, there are a few customers. One person is wearing a white hat and a white shirt, while another person is wearing a black jacket. The bakery has a sign that reads ""WELCOME"" and a sign with a logo. The mall has a modern design with a curved staircase and tiled floors.",Salesman: 皆様、こんにちは。ただいまソルビバベーカリーでは顔スイーツ専門店カカオ101との。
